"S_ID","PREF_CLASS_YEAR","BUS_EMPLOYER_NAME1","BUS_JOB_TITLE","BUS_FIELD_OF_WORK_CODE","BUS_FIELD_OF_WORK_DESC","BUS_STATE","BUS_DATE_MODIFIED"
"S980414","2002","Willet Hauser","Apprentice"," "," "," ",29-MAR-07
"S980415","2002"," "," "," "," "," ",
"S980418","2002","Northwestern Mutual","Financial Representative","1200","Finance","VA",31-OCT-06
"S980419","2002","Cornell University","Graduate Student-PhD","1230","Graduate Studies"," ",22-JUL-09
"S980420","2002","Uptown Pilates"," ","1610","Other"," ",31-MAR-09
"S980424","2002","Self-Employed","Logistics Consultant","1520","Self Employed"," ",06-JAN-12
"S980425","2002"," "," "," "," "," ",
"S980426","2002","Red Ridge Entertainment","Talent Agent/Songwriter","1180","Entertainment","TN",27-MAY-04
"S980427","2002"," "," "," "," "," ",
"S980429","2002","Columbus College of Art & Design","Director of Admissions","1150","Education (Higher Education)","OH",07-AUG-12
"S980430","2002"," "," "," "," "," ",
"S980431","2002","Nat'l Coalition of Abortion Providers","Executive Admin. Asst./Office Mgr.","1425","Non-Profit Adminstration","VA",02-JUL-04
"S980433","2002","Kensington Wheaton Youth Services","Social Worker","1530","Social Work/Human Services","MD",19-NOV-07
"S980436","2002","Department of State","Policy Advisor","1220","Government","VA",09-NOV-11
"S980438","2002","Prep Charter High School","English Teacher","1140","Education (Secondary)","PA",31-MAR-06
"S980440","2002","George Jackson Academy","Art Teacher","1140","Education (Secondary)","NY",14-OCT-10
"S980441","2002","National Security Council","Spokesman","1220","Government"," ",21-OCT-11
"S980447","2002"," "," "," "," "," ",
"S980448","2002","Oakland County Prosecutors Office","Assistant Prosecuting Attorney","1320","Law"," ",02-OCT-06
"S980449","2002","Lutheran World Relief"," ","1610","Other"," ",28-OCT-10
"S980453","2002","Employer Unknown","Jewelry Design"," "," "," ",10-SEP-08
"S980454","2002","Case Medical Center","Resident","1370","Medicine"," ",03-JAN-08
"S980455","2002"," "," "," "," "," ",
"S980459","2002","Aster OB/GYN, PC","Office Manager","1250","Health Care","NY",26-APR-12
"S980460","2002","The Bakken Museum","Performing Arts Educator","1410","Museum Work","MN",18-SEP-06
"S980461","2002","Employer Unknown","Commercial Real Estate","1480","Real Estate"," ",15-FEB-07
"S980462","2002","Federal Insurance Federation, Inc.","Vice President","1280","Insurance","MD",06-SEP-02
"S980464","2002"," "," "," "," "," ",
"S980465","2002","Steadfast Development","Project Engineer","1110","Construction"," ",05-DEC-12
"S980466","2002","Employer Unknown","Attorney","1320","Law"," ",30-APR-10
"S980469","2002","Columbus School for Girls","Middle School History Teacher","1140","Education (Secondary)","OH",23-OCT-08
"S980471","2002","Chung King Studios","Manager"," "," "," ",30-JUN-06
"S980472","2002","Employer Unknown"," ","1320","Law"," ",26-JAN-05
"S980476","2002"," "," "," "," "," ",
"S980478","2002","Employer Unknown","Science Writer"," "," "," ",18-SEP-08
"S980479","2002","Guidestone Ohio","Early Childhood Men.Hlth Supervisor","1450","Psychology/Counseling/Therapy","OH",21-NOV-12
"S980480","2002","Madison Retail Group","Associate","1610","Other","NY",15-SEP-10
"S980482","2002","Self Employed","Editor","1310","Journalism"," ",24-JUN-08
"S980484","2002"," "," "," "," "," ",
"S980485","2002","School Unknown","Teacher-ESL"," "," "," ",24-JAN-05
"S980491","2002"," "," "," "," "," ",
"S980494","2002"," "," "," "," "," ",
"S980495","2002","Battelle Memorial Institute","Spec.in Biological/Chemical Defense","1490","Research, Other","OH",04-APR-05
"S980508","2002","Cold Spring Harbor Laboratory","DNA Educator","1140","Education (Secondary)"," ",30-NOV-12
"S990272","2002"," "," "," "," "," ",
"S990485","2002","George Washington University","Graduate Student","1230","Graduate Studies"," ",07-NOV-05
"S990506","2002"," "," "," "," "," ",
"S990510","2002","State Attorney-20th Judicial Circuit","Assistant State Attorney","1320","Law","FL",11-MAY-07
"S990511","2002"," "," "," "," "," ",
"S200026","2003"," "," "," "," "," ",
"S200073","2003","Univ. of California at Los Angeles","Graduate Student/Teaching Assist.","1230","Graduate Studies","CA",17-JUN-08
"S200075","2003"," "," "," "," "," ",
"S200458","2003","Employer Unknown","Registered Nurse","1250","Health Care"," ",13-OCT-11
"S200459","2003","Employer Unknown","Attorney","1320","Law"," ",11-SEP-06
"S200461","2003"," "," "," "," "," ",
"S200468","2003","SpotRunner Inc.","Account Manager"," "," "," ",24-JAN-07
"S200470","2003","EU Services","Vice President of Operations","1080","Business","MD",30-OCT-09
"S200471","2003"," "," "," "," "," ",
"S200473","2003","Rehabilitation Institute of Chicago","Resident","1370","Medicine","IL",18-AUG-10
"S200478","2003","Harvard University","Graduate Student","1230","Graduate Studies"," ",26-APR-10
"S200483","2003"," "," "," "," "," ",
"S200498","2003"," "," "," "," "," ",
"S201447","2003","Employer Unknown"," ","1140","Education (Secondary)"," ",09-MAR-12
"S960204","2003"," "," "," "," "," ",
"S960436","2003"," "," "," "," "," ",
"S970036","2003","University of Toledo","Student","1230","Graduate Studies"," ",21-SEP-07
"S970489","2003","Knox County Head Start, Inc.","Executive Director","1425","Non-Profit Adminstration","OH",19-MAY-11
"S980067","2003","Self Employed","Artist","1050","Arts"," ",25-JAN-06
"S980073","2003","Amelia John","Owner/Photographer","1440","Photography","WI",09-JUN-10
"S980198","2003","Dave Fox Remodeling"," "," "," "," ",01-OCT-03
"S980241","2003","Trinchero Family Estates","Accountant","1010","Accounting"," ",03-MAR-10
"S980303","2003"," "," "," "," "," ",
"S980409","2003","Employer Unknown"," ","1050","Arts"," ",14-JUL-05
"S980416","2003"," "," "," "," "," ",
"S980422","2003"," "," "," "," "," ",
"S980474","2003"," "," "," "," "," ",
"S980486","2003","Self Employed","Freelance Writer","1580","Writing","OH",20-OCT-05
"S990001","2003","School Unknown","Graduate Student","1230","Graduate Studies"," ",13-FEB-06
"S990002","2003","Rolls-Royce Energy Systems, Inc.","CFBU Reporting/PlanningFin.Partner","1200","Finance"," ",29-JUN-11
"S990003","2003","Reed College","Psychologist","1450","Psychology/Counseling/Therapy","OR",08-DEC-08
"S990004","2003","Family Support Network","Program Supervisor","1530","Social Work/Human Services","MO",27-AUG-07
"S990005","2003","Robert W. Baird & Co. Incorporated"," ","1300","Investment/Securities","WI",11-OCT-07
"S990007","2003","Cuyahoga Falls City Schools","Social Studies Teacher","1140","Education (Secondary)","OH",24-OCT-07
"S990008","2003","University Hospitals Case Med. Ctr.","Physician-Diag./Interventional Rad.","1370","Medicine","OH",23-OCT-12
"S990009","2003"," "," "," "," "," ",
"S990011","2003","Employer Unknown","Teacher","1140","Education (Secondary)"," ",09-JAN-12
"S990012","2003","Employer Unknown","Attorney","1320","Law"," ",01-MAR-11
"S990014","2003","Self Employed","Freelance Editorial Cartoonist","1310","Journalism"," ",26-FEB-08
"S990015","2003","Public School 226","Special Education Teacher","1140","Education (Secondary)","NY",03-JUL-08
"S990016","2003"," "," "," "," "," ",
"S990017","2003"," "," "," "," "," ",
"S990018","2003","Fastenal Company","Industrial Sales","1510","Sales"," ",29-JAN-07
"S990020","2003"," "," "," "," "," ",
"S990021","2003","School Unknown","Graduate Student","1230","Graduate Studies"," ",15-AUG-12
"S990022","2003","Proctor & Gamble","Assistant Brand Manager","1360","Marketing/Market Research"," ",28-FEB-12
"S990023","2003","Beth Israel Medical Center","Counselor-Methadone Program","1450","Psychology/Counseling/Therapy"," ",02-DEC-08
"S990024","2003","UCLA","Graduate Student (Film)","1230","Graduate Studies"," ",05-AUG-05
"S990025","2003"," "," "," "," "," ",
"S990026","2003","Chesapeake Energy Corporation","Dir. of Strategic Communications","1100","Communications"," ",02-MAY-12
"S990027","2003","Burr and Burton Academy","Teacher","1140","Education (Secondary)"," ",04-SEP-12
"S990028","2003"," "," "," "," "," ",
"S990029","2003","Pacific Oaks College","Grad.Studt-MA-Hum.Dev/Tch Cred.","1230","Graduate Studies","CA",05-JAN-09
"S990033","2003"," "," "," "," "," ",
"S990034","2003","Sheppard Pratt Hospital","Art Therapist"," "," ","MD",12-JUN-07
"S990035","2003","NYC Dept.of Small Business Services","Director, Program Management","1220","Government"," ",16-JUN-11
"S990036","2003","The Linux Foundation","MeeGo Operations Manager","1610","Other"," ",05-DEC-11
"S990037","2003","Self Employed"," ","1520","Self Employed"," ",22-JAN-04
"S990038","2003","Novak & Macy LLP","Attorney","1320","Law","IL",15-DEC-10
"S990039","2003","University of Pennsylvania","Grad. Student-Masters City Planning","1230","Graduate Studies"," ",12-NOV-07
"S990041","2003"," "," "," "," "," ",
"S990043","2003","Northwestern University","Grad Student-PhD in African History","1230","Graduate Studies"," ",20-OCT-05
"S990046","2003","Self Employed","Freelance-Props"," "," "," ",12-MAY-06
"S990048","2003","U. S. Airforce","Sr. Airman, 1st Class","1390","Military"," ",09-NOV-09
"S990049","2003","Boston College","Research Associate-Post Doc","1500","Research,Scientific","MA",27-JAN-09
"S990050","2003"," "," "," "," "," ",
"S990052","2003"," "," "," "," "," ",
"S990053","2003","University of Pittsburgh Medical Ctr.","Pharmacist, Anticoagulation Service","1250","Health Care","PA",19-FEB-08
"S990054","2003"," "," "," "," "," ",
"S990055","2003","University of North Texas","Master Student of Jazz Studies","1420","Music"," ",15-MAY-12
"S990056","2003","ES Packaging, Inc.","President","1510","Sales","OH",29-JUN-04
"S990057","2003","American Psychological Assoc.","Asst. Dir., Policy Analysis/Comm.","1150","Education (Higher Education)","DC",22-APR-08
"S990058","2003","Bronx High School Law & Comm.Serv.","English Teacher","1140","Education (Secondary)"," ",23-JAN-09
"S990059","2003"," "," "," "," "," ",
"S990060","2003","State Department","Acquisitions Specialist","1220","Government","DC",19-APR-10
"S990061","2003","DePaul University","Academic Advisor","1150","Education (Higher Education)","IL",02-MAR-09
"S990064","2003","URS","Sustainability Manager","1120","Consulting"," ",12-NOV-12
"S990065","2003","Rancho San Julian Beef","Owner/Manager Cattle Rancher","1030","Agriculture","CA",21-JUN-10
"S990066","2003"," "," "," "," "," ",
"S990067","2003","Brandeis University","Doctoral Candidate-Psychology","1230","Graduate Studies","MA",30-NOV-12
"S990068","2003","Literacy Through Photography","Program Coordinator","1050","Arts","NC",09-NOV-07
"S990069","2003","Morningstar University","Graduate Student-Ministry","1230","Graduate Studies"," ",12-NOV-12
"S990070","2003"," "," "," "," "," ",
"S990071","2003","Employer Unknown","Server","1610","Other"," ",27-OCT-09
"S990073","2003"," "," "," "," "," ",
"S990074","2003","Hit The Sticks LLC","President","1080","Business"," ",23-APR-08
"S990076","2003"," "," "," "," "," ",
"S990077","2003","Revelation Ventures, Inc.","President","1520","Self Employed","OH",01-DEC-11
"S990078","2003","Northwestern","Graduate Student","1230","Graduate Studies"," ",29-OCT-03
"S990080","2003","Employer Unknown","Waitress"," "," "," ",07-OCT-04
"S990082","2003"," "," "," "," "," ",
"S990083","2003","EXPRESS"," ","1610","Other"," ",02-NOV-11
"S990085","2003","Random House","Editor","1460","Publishing","NY",03-DEC-10
"S990086","2003","Atlantic Southeast Airlines","First Officer","1560","Transportation","GA",07-FEB-07
"S990087","2003","Washington County","Public Housing Manager","1610","Other"," ",09-JAN-12
"S990088","2003"," "," "," "," "," ",
"S990091","2003","Edelman","Senior Account Executive","1470","Public Relations","DC",11-JUN-04
"S990092","2003","University of Portland","Assistant Controller","1010","Accounting","OR",27-APR-09
"S990093","2003","Meebo, Inc.","Senior Account Executive","1125","ECommerce/Web","NY",12-OCT-10
"S990094","2003","Employer Unknown"," "," "," "," ",03-FEB-11
"S990096","2003","Peace Corps"," "," "," "," ",03-OCT-03
"S990097","2003","Activision Blizzard","Community Manager","1610","Other","CA",22-NOV-11
"S990099","2003"," "," "," "," "," ",
"S990102","2003","U.S. Dept. of Housing & Urban Dev.","Investigator","1320","Law"," ",07-JUL-09
"S990104","2003","Christiana Care Health Services","Resident Physician","1370","Medicine","DE",16-MAY-08
"S990105","2003"," "," "," "," "," ",
"S990106","2003","Arlington High School","Teacher","1140","Education (Secondary)"," ",07-DEC-09
"S990107","2003","Phillips Preiss Grygiel LLC","Associate","1120","Consulting","NJ",11-MAY-10
"S990108","2003"," "," "," "," "," ",
"S990109","2003","Grant Thornton LLP","Senior Consultant","1120","Consulting","VA",31-JAN-12
"S990110","2003"," "," "," "," "," ",
"S990111","2003"," "," "," "," "," ",
"S990112","2003","Aetna"," ","1610","Other"," ",22-JUN-11
"S990113","2003"," "," "," "," "," ",
"S990115","2003"," "," "," "," "," ",
"S990116","2003","SmithBucklin Corporation","Convention Coordinator","1610","Other","IL",13-SEP-04
"S990117","2003"," "," "," "," "," ",
"S990119","2003","The Transportation Group","Investment Banking Associate"," "," "," ",20-SEP-05
"S990120","2003","Wellesley College","Asst. Swim Coach/Recruiting Coord.","1540","Sports"," ",23-MAR-11
"S990121","2003","Penguin","Editor","1310","Journalism","NY",06-FEB-12
"S990123","2003"," "," "," "," "," ",
"S990124","2003","The Wallace Foundation"," ","1610","Other"," ",29-OCT-09
"S990127","2003","Employer Unknown","Attorney","1320","Law"," ",09-NOV-12
"S990130","2003","Employer Unknown","Psychologist","1450","Psychology/Counseling/Therapy"," ",12-JUL-12
"S990131","2003"," "," "," "," "," ",
"S990132","2003"," "," "," "," "," ",
"S990133","2003"," "," "," "," "," ",
"S990134","2003"," "," "," "," "," ",
"S990135","2003"," "," "," "," "," ",
"S990137","2003","Independence Trust Co."," "," "," ","TN",27-OCT-04
"S990138","2003"," "," "," "," "," ",
"S990139","2003","Booz Allen Hamilton","Senior Consultant","1120","Consulting","VA",02-AUG-06
"S990140","2003","Employer Unknown"," ","1320","Law"," ",21-MAR-11
"S990141","2003","Amherst College","Assistant Professor of Mathematics","1150","Education (Higher Education)","MA",06-JAN-10
"S990142","2003","Grassroots United","Assistant Executive Director","1425","Non-Profit Adminstration"," ",18-OCT-10
"S990144","2003","Chubb Grp. of Insurance Companies","Management Liability Underwriter","1280","Insurance","IL",11-NOV-11
"S990145","2003","Fermi National Accelerator Lab.","Schramm Fellow","1500","Research,Scientific","IL",24-AUG-10
"S990146","2003","Self Employed","Arts","1050","Arts"," ",23-MAY-05
"S990147","2003"," "," "," "," "," ",
"S990148","2003"," "," "," "," "," ",
"S990149","2003"," "," "," "," "," ",
"S990150","2003","CtrRsrch-Fathers,Chdrn/Fam.Well Be","Research Associate","1530","Social Work/Human Services","NY",12-MAY-08
"S990151","2003","Self Employed","Museum Preparator, Carpenter","1410","Museum Work"," ",08-JUL-10
"S990152","2003","The Logan Firm P.C.","Attorney-Immigration Law","1320","Law"," ",16-APR-10
"S990154","2003","Charlotte Country Day School","English Teacher","1140","Education (Secondary)"," ",26-OCT-09
"S990155","2003","Loyola University","Research Assistant","1500","Research,Scientific"," ",06-OCT-09
"S990156","2003"," "," "," "," "," ",
"S990157","2003","Healthpoint Family Care","Physician","1370","Medicine","KY",26-JUL-11
"S990158","2003"," "," "," "," "," ",
"S990160","2003","Newton Falls Exempted Village Schl.","Treasurer/CFO","1010","Accounting","OH",10-JUN-09
"S990161","2003","Pacific University","Librarian/Assistant Professor","1340","Library Science","OR",02-OCT-06
"S990163","2003","US Postal Service Law Department","Attorney","1320","Law","DC",31-MAR-10
"S990164","2003","US Pharmacopeia","Manager, Editorial Support","1460","Publishing","MD",20-MAR-08
"S990166","2003"," "," "," "," "," ",
"S990167","2003"," "," "," "," "," ",
"S990168","2003","Elizabeth Ray Voice Studio","Voice Teacher","1150","Education (Higher Education)","CO",09-JUN-09
"S990169","2003","Self Employed","Psychologist,Marriage/Fam.Therapist","1450","Psychology/Counseling/Therapy"," ",22-SEP-09
"S990170","2003","Employer Unknown","Physician","1370","Medicine"," ",07-NOV-11
